,average_rating
9,8.07933
14,7.99115
15,8.030710000000001
18,7.87047
20,7.98786
27,7.82181
39,7.92585
41,7.8579
42,7.86088
47,7.81642
48,7.82838
51,7.94325
52,7.733910000000001
59,7.75639
61,7.633830000000001
64,7.771610000000001
68,7.8028699999999995
78,7.616689999999999
86,7.51173
94,7.53118
96,7.657769999999999
97,7.67833
100,8.113439999999999
101,7.6166
114,7.49085
120,7.41
122,7.5880399999999995
123,7.43803
124,7.85222
126,7.60757
136,7.414
139,7.43982
141,7.411639999999999
148,7.49275
152,7.43642
154,7.41603
158,7.42395
162,7.310689999999999
165,7.343030000000001
166,7.586410000000001
169,7.712839999999999
173,7.43755
174,7.583410000000001
176,7.38285
180,7.44533
184,7.4863
190,7.55243
198,7.92564
206,7.54437
208,7.60999
210,7.984360000000001
214,7.188860000000001
226,7.3124899999999995
243,7.421939999999999
247,7.76665
251,7.23398
258,7.74507
261,7.5683300000000004
264,7.21282
269,7.21925
277,7.48597
284,8.38007
289,7.11895
295,7.174339999999999
304,7.805689999999999
323,7.17932
326,7.32043
329,7.282939999999999
334,7.196160000000001
341,7.28023
347,7.14682
355,7.0968
360,7.50254
373,7.0266399999999996
375,7.72238
379,7.28222
380,7.08294
414,7.06232
416,7.76444
431,7.2479
439,6.99586
443,7.40207
446,7.623060000000001
449,7.8890199999999995
458,8.219610000000001
464,7.11227
467,7.136480000000001
469,7.032789999999999
472,7.919230000000001
474,7.1330800000000005
475,6.99839
480,6.983289999999999
488,8.008510000000001
489,6.93467
499,6.84868
500,7.26523
504,8.0345
508,7.02394
513,6.97288
517,6.84115
521,7.52018
522,7.11305
526,7.37633
529,6.805060000000001
549,7.5597
560,7.049519999999999
571,6.98875
572,7.004739999999999
577,7.12242
578,6.914810000000001
579,7.49995
583,7.0182899999999995
598,7.09415
601,6.805969999999999
606,7.240989999999999
611,6.986669999999999
615,7.0442
621,7.4624
622,7.35522
624,7.22647
626,7.792889999999999
634,6.8074699999999995
640,6.86723
645,7.31572
650,6.67825
656,7.10093
658,6.93295
667,7.333239999999999
671,7.08068
673,6.94592
679,6.9299100000000005
682,7.2983199999999995
683,7.1410800000000005
688,7.199889999999999
690,8.75975
693,7.337860000000001
707,6.79235
718,7.0864
739,6.75597
751,6.86793
754,6.78511
756,7.59968
759,6.90388
768,6.620589999999999
772,8.12352
779,6.921810000000001
780,6.80302
782,7.08345
785,7.7091899999999995
794,6.96208
799,7.29955
812,6.8711199999999995
818,7.059539999999999
839,6.7769699999999995
845,6.873289999999999
861,7.5270600000000005
864,6.8527
886,6.663589999999999
890,6.6762
892,7.3954
894,8.07922
905,6.636239999999999
908,7.87938
909,6.914810000000001
915,6.6928
925,7.151389999999999
928,6.77729
930,6.51293
947,6.99069
952,6.87383
955,6.881410000000001
960,6.564660000000001
963,6.64265
971,7.030130000000001
978,7.17789
979,6.96184
981,7.14272
991,6.57188
995,6.84468
996,6.8552800000000005
999,6.581010000000001
1001,7.1838
1002,7.0062
1003,6.59094
1007,6.66737
1014,6.80987
1015,7.04983
1018,6.73795
1020,6.4907900000000005
1021,7.4508600000000005
1022,6.54559
1031,6.655010000000001
1032,8.17184
1036,6.64942
1044,7.0378300000000005
1046,6.97743
1048,7.056189999999999
1056,6.94769
1062,6.71011
1065,6.89323
1067,7.93704
1069,6.894769999999999
1076,7.102539999999999
1081,6.4245
1083,6.67577
1093,6.462999999999999
1097,6.99833
1101,7.176989999999999
1102,6.865289999999999
1106,7.2996300000000005
1112,6.5277400000000005
1119,6.714639999999999
1129,6.60292
1136,7.26231
1142,6.5487400000000004
1151,7.15543
1155,6.9918
1162,6.50855
1166,6.497240000000001
1171,6.98327
1182,6.63357
1185,7.62558
1192,6.37818
1195,6.976189999999999
1199,6.7641100000000005
1200,6.859139999999999
1203,6.51342
1210,6.6282
1211,7.58172
1213,7.66087
1229,6.99074
1232,6.83702
1233,7.16516
1234,7.778639999999999
1237,6.5917699999999995
1238,6.37929
1240,6.99127
1245,6.47733
1261,6.59963
1265,6.5221800000000005
1268,6.43175
1272,6.83926
1274,7.774380000000001
1279,6.51048
1284,6.42513
1286,6.5284
1287,7.204330000000001
1306,6.936039999999999
1316,6.97514
1318,6.80892
1319,6.77212
1322,6.37983
1323,6.535019999999999
1324,6.4348
1329,6.29448
1335,6.8910800000000005
1347,7.73267
1349,7.36828
1354,6.55812
1355,7.55773
1361,6.413069999999999
1369,6.54897
1370,6.62997
1378,6.52345
1379,6.628660000000001
1387,7.25927
1389,7.48155
1400,6.4343699999999995
1411,6.53104
1412,7.8754800000000005
1415,6.78415
1423,6.876339999999999
1426,6.636589999999999
1431,6.64876
1434,6.623710000000001
